id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
1;brr yuck;humble;vice whoa;uncork;before brace;before watery over;following skeletal;over brr after;2025-04-01;2025-04-01;2025-04-01;queasily brr apud;left;2025-04-02;2025-04-01;geez the;schedule coal complication;flat never off;egg how;downshift intently multicolored;round oh modulo;dicker since;while where
2;bliss yet;thankfully;gut;yippee;reopen unto;after;usually athwart;why whether;2025-04-02;2025-04-01;2025-04-02;flight urgently;disinherit;2025-04-02;2025-04-01;yet indeed;alongside a until;gah;expense why whoa;where till tightly;citizen;service;maul apricot
3;lightly cook;unless than idealistic;accessorise tricky;oh below;uncommon extension incidentally;amid hence greedy;tromp catalog;onto till during;2025-04-02;2025-04-01;2025-04-01;shear swine;shakily without;2025-04-01;2025-04-01;apud seemingly cruel;forsaken funny;mountain pecan;yet bus;politely;for;skeletal forenenst inasmuch;whoever pish hmph
4;availability;guard utterly;because likewise;delete exterior off;now uh-huh surge;fundraising well-lit where;given by;easily;2025-04-02;2025-04-01;2025-04-01;cleave where;after parsnip;2025-04-02;2025-04-02;yet but boldly;oxygenate;across provided;king;guidance;terribly than hyena;cannon worth whoever;meh
5;what;realistic repossess;after;jealous male pish;blissfully;coal who;atop;airmail male hawk;2025-04-01;2025-04-01;2025-04-01;amnesty;ouch;2025-04-02;2025-04-01;below whenever lone;smuggle coagulate tenant;throughout remark;determined gah;fatal an once;consequently blue;now;mmm shear
6;upbeat viciously too;as evenly materialise;well-worn toward cultivated;dismal;lest louse;or ick phooey;grounded heavily;editor than dissemble;2025-04-01;2025-04-01;2025-04-01;recklessly councilman messy;contradict gum;2025-04-01;2025-04-01;at navigate;culture ick;duh eventually geez;shyly;obnoxiously;issue before deny;formation graffiti;doting habit continually
7;abaft around;atomize worth;fatherly;provided;inside;bore;readies;hmph supplier midst;2025-04-01;2025-04-01;2025-04-02;versus mousse;snappy along inquisitively;2025-04-01;2025-04-01;pasta;meanwhile indeed;persecute;wilt desecrate kit;attend consequently cake;when;nor;t-shirt
8;beard behind though;deflate;knuckle lean;tectonics;monocle;own live;queasily;notwithstanding;2025-04-01;2025-04-01;2025-04-01;hmph ouch creature;generally valiantly worth;2025-04-01;2025-04-02;instead frequent damaged;after although stint;as;council through proper;hollow gadzooks often;lovable relative pave;hence famously except;drat
9;why vet;than phooey;onto reprimand;hype powerfully vision;nougat;regarding so;yippee yum;excepting;2025-04-02;2025-04-02;2025-04-02;oxygenate kit legislature;super;2025-04-01;2025-04-01;fatherly whether;whereas even institute;via yahoo;comfortable instead or;yum gorgeous glow;ack other sternly;however likewise ha;at whoa
10;shinny hydrant upright;furthermore disappointment that;lifestyle mature ha;astride;leading;apropos wriggler;before woot;finally joyfully psst;2025-04-01;2025-04-02;2025-04-01;seal know beneath;knowledgeably;2025-04-01;2025-04-01;mindless afterwards;gadzooks unwritten emphasise;geez;bah that;vaguely;rival;nor plus;reassuringly unimportant trust
