id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;who impostor grounded;yahoo save mechanically;2025-04-01;hm;gee;duh modulo phew;whenever parallel fly;sans fervently gee
2;as politely up;attraction nearly and;2025-04-02;woefully woot oh;resolve contravene amend;neighboring afraid;twist;jubilantly astride finding
3;prejudge better if;curl convoke;2025-04-01;off;sleet orientate rural;quarrelsomely duh anxiously;blah slide;legislature reorient furthermore
4;taxicab matter;till;2025-04-01;retrospectivity clearly while;cruelly instead frightfully;aw via illiterate;boohoo;edible paintwork
5;until broadside;coast bah;2025-04-02;uh-huh disappointment;austere gah;miskey step;over tough husk;save zowie drat
6;suffice among yellow;whereas;2025-04-01;eventually;judicious;blowgun engender;cheerfully equal junior;amused crowded before
7;cautiously;solemnly how;2025-04-02;slather;carp although fluff;than slide mmm;meaty perfectly unimportant;jealously midst doubtfully
8;magnetize thankfully officially;to drain;2025-04-01;wherever ha;only lest fondly;reproachfully cop gadzooks;perfectly;behind baggy
9;fund;dispose best zowie;2025-04-02;duffel optimistically icy;gadzooks near into;above offensively;hold sour beautifully;saloon
10;kissingly or;between weep croon;2025-04-01;polite;pish;bind till bug;about ew productive;oof prickly
